event,timestamp_ns
pattern_start,1757332112672341400
fixation_start,1757332113075243700
fixation_end,1757332115080814500
fixation_start,1757332115425363300
fixation_end,1757332117430757800
fixation_start,1757332117814933700
fixation_end,1757332119817374600
fixation_start,1757332120201553500
fixation_end,1757332122203795800
fixation_start,1757332122597388200
fixation_end,1757332124599985300
fixation_start,1757332125008563800
fixation_end,1757332127011140100
fixation_start,1757332127462382400
fixation_end,1757332129467666900
fixation_start,1757332129869908600
fixation_end,1757332131871522400
fixation_start,1757332132231432700
fixation_end,1757332134236456400
fixation_start,1757332134627550100
fixation_end,1757332136629518600
pattern_end,1757332138630728000
