event,timestamp_ns
pattern_start,1757332084983889400
fixation_start,1757332085418978400
fixation_end,1757332087421862000
fixation_start,1757332087855073900
fixation_end,1757332089858702700
fixation_start,1757332090224769500
fixation_end,1757332092228637300
fixation_start,1757332092626653500
fixation_end,1757332094631409300
fixation_start,1757332095012133400
fixation_end,1757332097014725600
fixation_start,1757332097402473500
fixation_end,1757332099408476800
fixation_start,1757332099799188800
fixation_end,1757332101804786700
fixation_start,1757332102221253400
fixation_end,1757332104224760600
fixation_start,1757332104658230800
fixation_end,1757332106662726400
pattern_end,1757332108663696500
