event,timestamp_ns
pattern_start,1757332143208854300
fixation_start,1757332143578987600
fixation_end,1757332145581816900
fixation_start,1757332145947429700
fixation_end,1757332147949707700
fixation_start,1757332148317514500
fixation_end,1757332150319203100
fixation_start,1757332150692073500
fixation_end,1757332152696933200
fixation_start,1757332153118171300
fixation_end,1757332155124669000
fixation_start,1757332155511848700
fixation_end,1757332157514600200
fixation_start,1757332157909422400
fixation_end,1757332159913129700
fixation_start,1757332160295105700
fixation_end,1757332162297213600
fixation_start,1757332162691021300
fixation_end,1757332164695683100
fixation_start,1757332165093792900
fixation_end,1757332167097429600
pattern_end,1757332169099339000
